FG_seq,Wikidata_Q,Wikidata_link,cdli_ruler,cdli_count,NeedDisambig,CDLI URI,Alies (separated by bar | ),Description,Note,period_id,dynasty_id (P53),sequence,Replaces_(P1365),Replaced_by_(P1366),start_time_(P580),end_time_(P582),Wikidata2_link,Wikidata2_Q,Wikidata2_label,Wikidata3,Wikidata3_Label,Wikidata4,Wikidata4_Label,Follows (P155),Followed by (P156),Wikidata_Label,ruler,id,Wikidata_Label,Wikidata_Q,ruler,rulerLabel,birthdate,deathdate,replaces,replacesLabel,replacedBy,replacedByLabel,position,positionLabel,position2,positionLabel2,position3,positionLabel3,P21,determination method,https://www.wikidata.org/wiki/Property:P569,https://www.wikidata.org/wiki/Property:P570,https://www.wikidata.org/wiki/Property:P39,https://www.wikidata.org/wiki/Property:P580,https://www.wikidata.org/wiki/Property:P582,https://www.wikidata.org/wiki/Property:P1365,https://www.wikidata.org/wiki/Property:P1366,link address,epsd2_sortcode,epsd2_rulers,Wikipedia_reference,Wikidata_Q,Wikidata-link,P31,P103,P1412,titles,father,siblings,spouse,epsd2_sortcodes_json,RIME_seq_num,RIME_Volume,RIME_Series,RIME_Page,RIME_Ruler,RIME_Dynasty_count,RIME_Area,Wiki_dynasty,Wiki_periods,Wikidata_Label,Wikidata_Q,CDLI_URI,CDLI_label,x_CDLI,RIME_PDF_entry,Series_page
,,,Ad,0,,,,,What is this abbrevation?,NULL,NULL,NULL,,,,,,,,,,,,,,,Ad,58,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q346530,https://www.wikidata.org/wiki/Q346530,Adad-apla-iddina,35,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Adad-apla-iddina,Adad-apla-iddina,292,Adad-apla-iddina,Q346530,http://www.wikidata.org/entity/Q346530,Adad-apla-iddina,-1100-01-01T00:00:00Z,-1100-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q295194,https://www.wikidata.org/wiki/Q295194,Adad-nerari1,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Adad-nirari I,Adad-nerari1,130,Adad-nirari I,Q295194,http://www.wikidata.org/entity/Q295194,Adad-nirari I,-1400-01-01T00:00:00Z,-1273-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q311573,https://www.wikidata.org/wiki/Q311573,Adad-nerari2,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Adad-nirari II,Adad-nerari2,441,Adad-nirari II,Q311573,http://www.wikidata.org/entity/Q311573,Adad-nirari II,-1000-01-01T00:00:00Z,-0890-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q313127,https://www.wikidata.org/wiki/Q313127,Adad-nerari3,11,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Adad-nirari III,Adad-nerari3,338,Adad-nirari III,Q313127,http://www.wikidata.org/entity/Q313127,Adad-nirari III,-0900-01-01T00:00:00Z,-0782-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Adad-qarrad,1,,https://cdli.mpiwg-berlin.mpg.de/artifacts/448272,,,None found,NULL,NULL,NULL,,,,,,,,,,,,,,,Adad-qarrad,358,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q346620,https://www.wikidata.org/wiki/Q346620,Adad-shuma-iddina,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Adad-shuma-iddina,Adad-shuma-iddina,21,Adad-shuma-iddina,Q346620,http://www.wikidata.org/entity/Q346620,Adad-shuma-iddina,-1300-01-01T00:00:00Z,-1216-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q346642,https://www.wikidata.org/wiki/Q346642,Adad-shumu-usur,1,,https://cdli.mpiwg-berlin.mpg.de/artifacts/326601,,,Same as Adad-suma-usur,NULL,NULL,NULL,,,,,,,,,,,,,,Adad-shuma-usur,Adad-shumu-usur,507,Adad-shuma-usur,Q346642,http://www.wikidata.org/entity/Q346642,Adad-shuma-usur,-1300-01-01T00:00:00Z,-1200-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdli.mpiwg-berlin.mpg.de/artifacts/326601,,,,
,,,Addu-malik,1,,https://cdli.mpiwg-berlin.mpg.de/artifacts/448271,,,none found,NULL,NULL,NULL,,,,,,,,,,,,,,,Addu-malik,261,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Aga-ak,2,,https://cdli.mpiwg-berlin.mpg.de/artifacts/222671 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431025,,,only seen as a family name,NULL,NULL,NULL,,,,,,,,,,,,,,,Aga-ak,7,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,63,Aga-ak,,,,Q13649246,,,,,,,"Aga-ak: ""63"",",10,RIME 1,1.5.1,45,Aga-ak,1,E'EDIN,,,,,https://cdli.mpiwg-berlin.mpg.de/artifacts/222671 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431025,Aga-ak,,Aga-ak E1.5.1 / 45,1.5.1 / 45
,Q423840,https://www.wikidata.org/wiki/Q423840,Akurgal,10,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Akurgal,Akurgal,353,Akurgal,Q423840,http://www.wikidata.org/entity/Q423840,Akurgal,-2600-01-01T00:00:00Z,-2500-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,45,A-kurgal,,Q423840,,Q13649246,,,,,,,"A-kurgal: ""45"",",20,RIME 1,1.9.2,121,A-kurgal,1,LAGAŠ,,,,Q423840,,Akurgal,,A-kurgal E1.9.2 / 121,1.9.2 / 121
,Q8409,https://www.wikidata.org/wiki/Q8409,Alexander,1,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Alexander the Great,Alexander,541,Alexander the Great,Q8409,http://www.wikidata.org/entity/Q8409,Alexander the Great,-0355-07-15T00:00:00Z,-0322-06-05T00:00:00Z,,,,,http://www.wikidata.org/entity/Q622602,king of Macedon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://pl.wikipedia.org/wiki/Aleksander_III_(wnuk_Heroda_Wielkiego),Alexander3,0,y,disambiguation needed,,,Which one?,NULL,NULL,NULL,,,,,,,,,,,,,,Alexander (disambiguation),Alexander3,396,Alexander the Great,Q8409,http://www.wikidata.org/entity/Q8409,Alexander the Great,-0355-07-15T00:00:00Z,-0322-06-05T00:00:00Z,,,,,http://www.wikidata.org/entity/Q37110,pharaoh,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AM,14,,,,,What is this abbrevation?,NULL,NULL,NULL,,,,,,,,,,,,,,,AM,327,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q351679,https://www.wikidata.org/wiki/Q351679,Amar-Suen,10000+,,disambiguation needed,,,10/23/22 Fixed type-o in CDLI,Q109384761,Q723587,3,,,,,,,,,,,,,,Amar-Sin,Amar-Suen,274,Amar-Sin,Q351679,http://www.wikidata.org/entity/Q351679,Amar-Sin,-2100-01-01T00:00:00Z,-2100-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q854642,Lugal,,,,,Q6581097,,,,,,,,,,33,Amar-Suen,,Q351679,,Q13649246,,,,,,,"Amar-Suen: ""33"",",143,RIME 3.2,3/2.1.3,235,Amar-Suena,3,UR,,,,Q351679,,Amar-Sin	,,Amar-Suena E3/2.1.3 / 235,3/2.1.3 / 235
,Q351679,https://www.wikidata.org/wiki/Q351679,Amar-suen,10000+,,disambiguation needed,,,,Q109384761,Q723587,3,,,,,,,,,,,,,,Amar-Sin,Amar-suen,369,Amar-Sin,Q351679,http://www.wikidata.org/entity/Q351679,Amar-Sin,-2100-01-01T00:00:00Z,-2100-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q854642,Lugal,,,,,Q6581097,,,,,,,,,,297,Amar-Suena,,,,Q13649246,,,,,,,"Amar-Suena: ""297"",",143,RIME 3.2,3/2.1.3,235,Amar-Suena,3,UR,,,,Q351679,,Amar-Sin	,,Amar-Suena E3/2.1.3 / 235,3/2.1.3 / 235
,Q313234,https://www.wikidata.org/wiki/Q313234,Amel-Marduk,74,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Amel-Marduk,Amel-Marduk,221,Amel-Marduk,Q313234,http://www.wikidata.org/entity/Q313234,Amel-Marduk,-0609-01-01T00:00:00Z,-0559-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q471859,https://www.wikidata.org/wiki/Q471859,Aminu,3,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Aminu,Aminu,209,Aminu,Q471859,http://www.wikidata.org/entity/Q471859,Aminu,-2200-01-01T00:00:00Z,-2100-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q2416493,https://www.wikidata.org/wiki/Q2416493,Ammi-ditana,623,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ammi-Ditana,Ammi-ditana,471,Ammi-Ditana,Q2416493,http://www.wikidata.org/entity/Q2416493,Ammi-Ditana,-1700-01-01T00:00:00Z,-1700-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,251,Ammi-ditana,,,,Q13649246,,,,,,,"Ammi-ditana: ""251"",",205,RIME 4,4.3.9,411,Ammi-ditana,1,BABYLON,,,,Q2416493,,Ammi-ditana,,Ammi-ditana E4.3.9 / 411,4.3.9 / 411
,,,Ammi-ishtamar,2,,https://cdli.mpiwg-berlin.mpg.de/artifacts/448268 | https://cdli.mpiwg-berlin.mpg.de/artifacts/448616,,,None found,NULL,NULL,NULL,,,,,,,,,,,,,,,Ammi-ishtamar,512,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q441344,https://www.wikidata.org/wiki/Q441344,Ammi-saduqa,874,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ammi-Saduqa,Ammi-saduqa,98,Ammi-Saduqa,Q441344,http://www.wikidata.org/entity/Q441344,Ammi-Saduqa,-1700-01-01T00:00:00Z,-1700-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,253,Ammi-ṣaduqa,,,,Q13649246,,,,,,,"Ammi-ṣaduqa: ""253"",",206,RIME 4,4.3.10,425,Ammi-saduqa,1,BABYLON,,,,Q441344,,Ammi-saduqa,,Ammi-saduqa E4.3.10 / 425,4.3.10 / 425
,Q2416493,https://www.wikidata.org/wiki/Q2416493,Ammiditana,0,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ammi-Ditana,Ammiditana,38,Ammi-Ditana,Q2416493,http://www.wikidata.org/entity/Q2416493,Ammi-Ditana,-1700-01-01T00:00:00Z,-1700-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,251,Ammi-ditana,,,,Q13649246,,,,,,,"Ammi-ditana: ""251"",",205,RIME 4,4.3.9,411,Ammi-ditana,1,BABYLON,,,,Q2416493,,Ammi-ditana,,Ammi-ditana E4.3.9 / 411,4.3.9 / 411
,Q441344,https://www.wikidata.org/wiki/Q441344,Ammisaduqa,0,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ammi-Saduqa,Ammisaduqa,426,Ammi-Saduqa,Q441344,http://www.wikidata.org/entity/Q441344,Ammi-Saduqa,-1700-01-01T00:00:00Z,-1700-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,253,Ammi-ṣaduqa,,,,Q13649246,,,,,,,"Ammi-ṣaduqa: ""253"",",206,RIME 4,4.3.10,425,Ammi-saduqa,1,BABYLON,,,,Q441344,,Ammi-saduqa,,Ammi-saduqa E4.3.10 / 425,4.3.10 / 425
,,,Ampirish,1,,,,,None found,NULL,NULL,NULL,,,,,,,,,,,,,,,Ampirish,297,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Anadarum,2,,,,,None found,NULL,NULL,NULL,,,,,,,,,,,,,,,Anadarum,444,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q120446064,https://www.wikidata.org/wiki/Q120446064,Anam,98,,,Dingir-am | AN-am,king of Uruk in the Sinkašid dynasty during the Old Babylonian Period (ca. 1900-1600 BC),None found,NULL,NULL,NULL,,,,,https://www.wikidata.org/wiki/Q4353286,Q4353286,,,,,,,,,Anam,153,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,261,Anam,,,,Q13649246,,,,,,,"Anam: ""261"",",213,RIME 4,4.4.6,471,Anam,3,URUK,,,,,97x,Anam,,Anam E4.4.6 / 471,4.4.6 / 471
,Q200441,https://www.wikidata.org/wiki/Q200441,Antioch,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Antioch,Antioch,296,Antioch,Q200441,http://www.wikidata.org/entity/Q200441,Antioch,,,,,http://www.wikidata.org/entity/Q80561,Antakya,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q612130,https://www.wikidata.org/wiki/Q612130,Anu-uballit,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Anu-uballit Kephalon,Anu-uballit,334,Anu-uballit Kephalon,Q612130,http://www.wikidata.org/entity/Q612130,Anu-uballit Kephalon,-0200-01-01T00:00:00Z,-0200-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q567370,https://www.wikidata.org/wiki/Q567370,Anubanini,2,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Anubanini,Anubanini,429,Anubanini,Q567370,http://www.wikidata.org/entity/Q567370,Anubanini,-1500-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/ab912f8cf073b238a4ce19b6e85dbed4,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q519005,https://www.wikidata.org/wiki/Q519005,Apil-Sin,134,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Apil-Sin,Apil-Sin,340,Apil-Sin,Q519005,http://www.wikidata.org/entity/Q519005,Apil-Sin,-1890-01-01T00:00:00Z,-1812-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q3557798,https://www.wikidata.org/wiki/Q3557798,Aplahanda,5,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Aplahanda,Aplahanda,90,Aplahanda,Q3557798,http://www.wikidata.org/entity/Q3557798,Aplahanda,-1800-01-01T00:00:00Z,-1800-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q622717,https://www.wikidata.org/wiki/Q622717,Aqba-Hammu,22,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Aqba-Hammu,Aqba-Hammu,552,Aqba-Hammu,Q622717,http://www.wikidata.org/entity/Q622717,Aqba-Hammu,-1750-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/72760c9cf0fa1a9c76c72dc88e8130ba,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q336173,https://www.wikidata.org/wiki/Q336173,Arik-din-ili,16,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Arik-den-ili,Arik-din-ili,498,Arik-den-ili,Q336173,http://www.wikidata.org/entity/Q336173,Arik-den-ili,-1400-01-01T00:00:00Z,-1360-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q18217424,,Arim-Lim,2,,https://cdli.mpiwg-berlin.mpg.de/artifacts/448249 | https://cdli.mpiwg-berlin.mpg.de/artifacts/448605,Yarim-Lim,,disambiguation needed,NULL,NULL,NULL,,,,,,,,,,,,,,Yarim-Lim,Arim-Lim,202,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arshi-aha,2,,,,,None found,NULL,NULL,NULL,,,,,,,,,,,,,,,Arshi-aha,519,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q189689,https://www.wikidata.org/wiki/Q189689,Artaxerxes,21,y,disambiguation needed,,,See also the disambiguation page: https://www.wikidata.org/wiki/Q706239,NULL,NULL,NULL,,,,,,,,,,,,,,Artaxerxes I of Persia,Artaxerxes,253,Artaxerxes I of Persia,Q189689,http://www.wikidata.org/entity/Q189689,Artaxerxes I of Persia,-0500-01-01T00:00:00Z,-0423-01-01T00:00:00Z,http://www.wikidata.org/entity/Q129165,Xerxes I,http://www.wikidata.org/entity/Q272043,Xerxes II,http://www.wikidata.org/entity/Q3114558,Great King,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q189689,https://www.wikidata.org/wiki/Q189689,Artaxerxes1,12,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Artaxerxes I of Persia,Artaxerxes1,400,Artaxerxes I of Persia,Q189689,http://www.wikidata.org/entity/Q189689,Artaxerxes I of Persia,-0500-01-01T00:00:00Z,-0423-01-01T00:00:00Z,http://www.wikidata.org/entity/Q129165,Xerxes I,http://www.wikidata.org/entity/Q272043,Xerxes II,http://www.wikidata.org/entity/Q3114558,Great King,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q188472,https://www.wikidata.org/wiki/Q188472,Artaxerxes2,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Artaxerxes II of Persia,Artaxerxes2,220,Artaxerxes II of Persia,Q188472,http://www.wikidata.org/entity/Q188472,Artaxerxes II of Persia,-0435-01-01T00:00:00Z,-0357-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q37110,pharaoh,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q192867,https://www.wikidata.org/wiki/Q192867,Artaxerxes3,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Artaxerxes III ,Artaxerxes3,55,Artaxerxes III ,Q192867,http://www.wikidata.org/entity/Q192867,Artaxerxes III,-0424-01-01T00:00:00Z,-0337-07-27T00:00:00Z,,,,,http://www.wikidata.org/entity/Q12097,king,http://www.wikidata.org/entity/Q37110,pharaoh,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ashduni-iarim,4,,https://cdli.mpiwg-berlin.mpg.de/artifacts/222671 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431025,,,None found,NULL,NULL,NULL,,,,,,,,,,,,,,,Ashduni-iarim,255,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
